Name,Layer,Description,Address,Latitude,Longitude
20 nov 04 - Siegestor,20 nov — Munique — Englischer Garten,20 nov - Munique — Englischer Garten - Ponto turístico - #day-2026-11-20,"Siegestor, Munich, Germany",48.151000,11.586000
20 nov 05 - Englischer Garten,20 nov — Munique — Englischer Garten,20 nov - Munique — Englischer Garten - Ponto turístico - #day-2026-11-20,"Englischer Garten, Munich, Germany",48.163972,11.601542
20 nov 06 - Chinesischer Turm,20 nov — Munique — Englischer Garten,20 nov - Munique — Englischer Garten - Ponto turístico - #day-2026-11-20,"Chinesischer Turm, Englischer Garten, Munich, Germany",48.152222,11.592222
20 nov 07 - Eisbachwelle,20 nov — Munique — Englischer Garten,20 nov - Munique — Englischer Garten - Ponto turístico - #day-2026-11-20,"Eisbachwelle, Munich, Germany",48.143611,11.587778
20 nov 08 - Isar (Gärtnerplatz),20 nov — Munique — Englischer Garten,20 nov - Munique — Englischer Garten - Ponto turístico - #day-2026-11-20,"Gärtnerplatz, Munich, Germany",48.129722,11.569722
20 nov 09 - Kaufingerstraße,20 nov — Munique — Englischer Garten,20 nov - Munique — Englischer Garten - Ponto turístico - #day-2026-11-20,"Kaufingerstraße, Munich, Germany",48.137222,11.570833
20 nov 10 - Euro Bar (noite),20 nov — Munique — Englischer Garten,20 nov - Munique — Englischer Garten - Noite - #day-2026-11-20,"Euro Youth Hotel Munich, Bayerstraße 5, Munich, Germany",48.140722,11.558056
21 nov 01 - B&B Hotel München-Hbf,21 nov — Neuschwanstein (dia inteiro),21 nov - Neuschwanstein (dia inteiro) - Hotel - #day-2026-11-21,"B&B Hotel München-Hbf, Arnulfstraße 30, München, Germany",48.144472,11.559389
21 nov 02 - München ZOB,21 nov — Neuschwanstein (dia inteiro),21 nov - Neuschwanstein (dia inteiro) - Transporte - #day-2026-11-21,"München ZOB, Arnulfstraße, Munich, Germany",48.142067,11.549617
21 nov 03 - Füssen Pulverturm (FlixBus),21 nov — Neuschwanstein (dia inteiro),21 nov - Neuschwanstein (dia inteiro) - Transporte - #day-2026-11-21,"Pulverturmstraße 1, 87629 Füssen, Germany",47.568889,10.701389
21 nov 04 - Schloss Hohenschwangau,21 nov — Neuschwanstein (dia inteiro),21 nov - Neuschwanstein (dia inteiro) - Ponto turístico - #day-2026-11-21,"Schloss Hohenschwangau, Schwangau, Germany",47.555556,10.736111
21 nov 05 - Neuschwanstein Castle,21 nov — Neuschwanstein (dia inteiro),21 nov - Neuschwanstein (dia inteiro) - Ponto turístico - #day-2026-11-21,"Neuschwanstein Castle, Schwangau, Germany",47.557574,10.749800
21 nov 06 - Marienbrücke,21 nov — Neuschwanstein (dia inteiro),21 nov - Neuschwanstein (dia inteiro) - Ponto turístico - #day-2026-11-21,"Marienbrücke, Schwangau, Germany",47.559000,10.741500
21 nov 07 - Alpsee (opcional),21 nov — Neuschwanstein (dia inteiro),21 nov - Neuschwanstein (dia inteiro) - Ponto turístico - #day-2026-11-21,"Alpsee, 87645 Schwangau, Germany",47.548611,10.736111
21 nov 08 - Füssen Pulverturm (volta),21 nov — Neuschwanstein (dia inteiro),21 nov - Neuschwanstein (dia inteiro) - Transporte - #day-2026-11-21,"Pulverturmstraße 1, 87629 Füssen, Germany",47.568889,10.701389
21 nov 09 - München ZOB,21 nov — Neuschwanstein (dia inteiro),21 nov - Neuschwanstein (dia inteiro) - Transporte - #day-2026-11-21,"München ZOB, Munich, Germany",48.142067,11.549617
22 nov 01 - B&B Hotel München-Hbf (check-out),22 nov — Munique -> Salzburgo,22 nov - Munique -> Salzburgo - Hotel - #day-2026-11-22,"B&B Hotel München-Hbf, Arnulfstraße 30, München, Germany",48.144472,11.559389
22 nov 02 - Marienplatz (se sobrar tempo),22 nov — Munique -> Salzburgo,22 nov - Munique -> Salzburgo - Ponto turístico - #day-2026-11-22,"Marienplatz, Munich, Germany",48.137154,11.575382
22 nov 03 - München ZOB,22 nov — Munique -> Salzburgo,22 nov - Munique -> Salzburgo - Transporte - #day-2026-11-22,"München ZOB, Munich, Germany",48.142067,11.549617
22 nov 04 - Salzburg P+R Süd (FlixBus),22 nov — Munique -> Salzburgo,22 nov - Munique -> Salzburgo - Transporte - #day-2026-11-22,"Salzburg P+R Süd, Austria",47.791111,13.047222
22 nov 05 - Atel Hotel Lasserhof,22 nov — Munique -> Salzburgo,22 nov - Munique -> Salzburgo - Hotel - #day-2026-11-22,"Atel Hotel Lasserhof, Lasserstraße 47, 5020 Salzburg, Austria",47.804200,13.043100
22 nov 06 - Mirabellgarten,22 nov — Munique -> Salzburgo,22 nov - Munique -> Salzburgo - Ponto turístico - #day-2026-11-22,"Mirabell Palace and Gardens, Salzburg, Austria",47.805833,13.040000
22 nov 07 - Getreidegasse,22 nov — Munique -> Salzburgo,22 nov - Munique -> Salzburgo - Ponto turístico - #day-2026-11-22,"Getreidegasse, Salzburg, Austria",47.800278,13.043333
22 nov 08 - Salzburger Dom,22 nov — Munique -> Salzburgo,22 nov - Munique -> Salzburgo - Ponto turístico - #day-2026-11-22,"Salzburg Cathedral, Salzburg, Austria",47.794444,13.046667
23 nov 01 - Atel Hotel Lasserhof,23 nov — Salzburgo — Festung,23 nov - Salzburgo — Festung - Hotel - #day-2026-11-23,"Atel Hotel Lasserhof, Lasserstraße 47, Salzburg, Austria",47.804200,13.043100
23 nov 02 - Festung Hohensalzburg,23 nov — Salzburgo — Festung,23 nov - Salzburgo — Festung - Ponto turístico - #day-2026-11-23,"Hohensalzburg Fortress, Salzburg, Austria",47.794722,13.047778
23 nov 03 - Residenzplatz,23 nov — Salzburgo — Festung,23 nov - Salzburgo — Festung - Ponto turístico - #day-2026-11-23,"Residenzplatz, Salzburg, Austria",47.798333,13.045278
23 nov 04 - Salzburger Dom,23 nov — Salzburgo — Festung,23 nov - Salzburgo — Festung - Ponto turístico - #day-2026-11-23,"Salzburg Cathedral, Salzburg, Austria",47.794444,13.046667
23 nov 05 - Getreidegasse,23 nov — Salzburgo — Festung,23 nov - Salzburgo — Festung - Ponto turístico - #day-2026-11-23,"Getreidegasse, Salzburg, Austria",47.800278,13.043333
23 nov 06 - Mozartplatz,23 nov — Salzburgo — Festung,23 nov - Salzburgo — Festung - Ponto turístico - #day-2026-11-23,"Mozartplatz, Salzburg, Austria",47.799444,13.046389
23 nov 07 - Makartsteg,23 nov — Salzburgo — Festung,23 nov - Salzburgo — Festung - Ponto turístico - #day-2026-11-23,"Makartsteg, Salzburg, Austria",47.801944,13.042778
23 nov 08 - YoHo Hostel bar,23 nov — Salzburgo — Festung,23 nov - Salzburgo — Festung - Noite - #day-2026-11-23,"YoHo International Youth Hostel, Paracelsusstraße 9, Salzburg, Austria",47.803200,13.041500
24 nov 01 - Atel Hotel Lasserhof (check-out),24 nov — Salzburgo -> Viena,24 nov - Salzburgo -> Viena - Hotel - #day-2026-11-24,"Atel Hotel Lasserhof, Lasserstraße 47, Salzburg, Austria",47.804200,13.043100
24 nov 02 - Salzburg Hauptbahnhof,24 nov — Salzburgo -> Viena,24 nov - Salzburgo -> Viena - Transporte - #day-2026-11-24,"Salzburg Hauptbahnhof, Austria",47.812778,13.045556
24 nov 03 - Wien Hauptbahnhof (ICE 10:00),24 nov — Salzburgo -> Viena,24 nov - Salzburgo -> Viena - Transporte - #day-2026-11-24,"Wien Hauptbahnhof, Austria",48.185000,16.372778
24 nov 04 - Hotel Zipser,24 nov — Salzburgo -> Viena,24 nov - Salzburgo -> Viena - Hotel - #day-2026-11-24,"Hotel Zipser, Lange Gasse 49, 1080 Wien, Austria",48.211389,16.347778
24 nov 05 - Prater,24 nov — Salzburgo -> Viena,24 nov - Salzburgo -> Viena - Ponto turístico - #day-2026-11-24,"Prater, Vienna, Austria",48.216111,16.395833
24 nov 06 - Naschmarkt,24 nov — Salzburgo -> Viena,24 nov - Salzburgo -> Viena - Ponto turístico - #day-2026-11-24,"Naschmarkt, Vienna, Austria",48.198611,16.366111
24 nov 07 - Donaukanal,24 nov — Salzburgo -> Viena,24 nov - Salzburgo -> Viena - Ponto turístico - #day-2026-11-24,"Donaukanal, 1020 Vienna, Austria",48.218889,16.378333
24 nov 08 - a&o Wien Stadthalle bar,24 nov — Salzburgo -> Viena,24 nov - Salzburgo -> Viena - Noite - #day-2026-11-24,"a&o Wien Stadthalle, Lerchenfelder Gürtel 9-11, Vienna, Austria",48.210278,16.338889
25 nov 01 - Hotel Zipser,25 nov — Viena — Schönbrunn e anel,25 nov - Viena — Schönbrunn e anel - Hotel - #day-2026-11-25,"Hotel Zipser, Lange Gasse 49, Wien, Austria",48.211389,16.347778
25 nov 02 - Schönbrunn Palace,25 nov — Viena — Schönbrunn e anel,25 nov - Viena — Schönbrunn e anel - Ponto turístico - #day-2026-11-25,"Schönbrunn Palace, Vienna, Austria",48.184722,16.312222
25 nov 03 - Stadtpark,25 nov — Viena — Schönbrunn e anel,25 nov - Viena — Schönbrunn e anel - Ponto turístico - #day-2026-11-25,"Stadtpark, Vienna, Austria",48.206111,16.381389
25 nov 04 - Stephansdom,25 nov — Viena — Schönbrunn e anel,25 nov - Viena — Schönbrunn e anel - Ponto turístico - #day-2026-11-25,"St. Stephen's Cathedral, Vienna, Austria",48.208333,16.373056
25 nov 05 - Graben,25 nov — Viena — Schönbrunn e anel,25 nov - Viena — Schönbrunn e anel - Ponto turístico - #day-2026-11-25,"Graben, Vienna, Austria",48.208611,16.368611
25 nov 06 - Hofburg,25 nov — Viena — Schönbrunn e anel,25 nov - Viena — Schönbrunn e anel - Ponto turístico - #day-2026-11-25,"Hofburg Palace, Vienna, Austria",48.206111,16.365556
25 nov 07 - Rathaus,25 nov — Viena — Schönbrunn e anel,25 nov - Viena — Schönbrunn e anel - Ponto turístico - #day-2026-11-25,"Vienna City Hall, Austria",48.210833,16.357500
25 nov 08 - Parlamento,25 nov — Viena — Schönbrunn e anel,25 nov - Viena — Schönbrunn e anel - Ponto turístico - #day-2026-11-25,"Austrian Parliament Building, Vienna, Austria",48.208056,16.358611
26 nov 01 - Hotel Zipser (check-out),26 nov — Viena -> Bratislava,26 nov - Viena -> Bratislava - Hotel - #day-2026-11-26,"Hotel Zipser, Lange Gasse 49, Wien, Austria",48.211389,16.347778
26 nov 02 - Josefstadt (manhã livre),26 nov — Viena -> Bratislava,26 nov - Viena -> Bratislava - Ponto turístico - #day-2026-11-26,"Josefstädter Straße 1, 1080 Wien, Austria",48.210000,16.350000
26 nov 03 - Vienna International Bus Terminal (VIB),26 nov — Viena -> Bratislava,26 nov - Viena -> Bratislava - Transporte - #day-2026-11-26,"Vienna International Bus Terminal, Austria",48.184722,16.416667
26 nov 04 - Bratislava Most SNP (FlixBus),26 nov — Viena -> Bratislava,26 nov - Viena -> Bratislava - Transporte - #day-2026-11-26,"Most SNP, Bratislava, Slovakia",48.138333,17.104722
26 nov 05 - Danubia Gate Hotel,26 nov — Viena -> Bratislava,26 nov - Viena -> Bratislava - Hotel - #day-2026-11-26,"Danubia Gate Hotel, Dunajská 26, Bratislava, Slovakia",48.141944,17.117778
26 nov 06 - Staré Mesto,26 nov — Viena -> Bratislava,26 nov - Viena -> Bratislava - Ponto turístico - #day-2026-11-26,"Hlavné námestie, Bratislava, Slovakia",48.143889,17.107778
26 nov 07 - Bratislava Castle,26 nov — Viena -> Bratislava,26 nov - Viena -> Bratislava - Ponto turístico - #day-2026-11-26,"Bratislava Castle, Slovakia",48.142222,17.100278
26 nov 08 - Downtown Backpackers,26 nov — Viena -> Bratislava,26 nov - Viena -> Bratislava - Noite - #day-2026-11-26,"Downtown Backpackers Hostel, Panenská 31, Bratislava, Slovakia",48.142800,17.115800
27 nov 01 - Danubia Gate Hotel (check-out),27 nov — Bratislava -> Budapeste,27 nov - Bratislava -> Budapeste - Hotel - #day-2026-11-27,"Danubia Gate Hotel, Dunajská 26, Bratislava, Slovakia",48.141944,17.117778
27 nov 02 - Bratislava Nivy (Mlynské Nivy),27 nov — Bratislava -> Budapeste,27 nov - Bratislava -> Budapeste - Transporte - #day-2026-11-27,"Bratislava Nivy bus station, Slovakia",48.148056,17.128611
27 nov 03 - Budapest Kelenföld (FlixBus),27 nov — Bratislava -> Budapeste,27 nov - Bratislava -> Budapeste - Transporte - #day-2026-11-27,"Budapest Kelenföld, Hungary",47.464722,19.023056
27 nov 04 - Medos Hotel,27 nov — Bratislava -> Budapeste,27 nov - Bratislava -> Budapeste - Hotel - #day-2026-11-27,"Medos Hotel, Rákóczi út 40, Budapest, Hungary",47.498611,19.070278
27 nov 05 - Basílica de Santo Estêvão,27 nov — Bratislava -> Budapeste,27 nov - Bratislava -> Budapeste - Ponto turístico - #day-2026-11-27,"Szent István tér 1, Budapest, Hungary",47.500833,19.053889
27 nov 06 - Andrássy út,27 nov — Bratislava -> Budapeste,27 nov - Bratislava -> Budapeste - Ponto turístico - #day-2026-11-27,"Andrássy Avenue, Budapest, Hungary",47.503889,19.058611
27 nov 07 - Chain Bridge,27 nov — Bratislava -> Budapeste,27 nov - Bratislava -> Budapeste - Ponto turístico - #day-2026-11-27,"Széchenyi Chain Bridge, Budapest, Hungary",47.498056,19.043889
27 nov 08 - Buda Castle (vista),27 nov — Bratislava -> Budapeste,27 nov - Bratislava -> Budapeste - Ponto turístico - #day-2026-11-27,"Buda Castle, Budapest, Hungary",47.496389,19.039722
28 nov 01 - Medos Hotel,28 nov — Budapeste — Pest icónico,28 nov - Budapeste — Pest icónico - Hotel - #day-2026-11-28,"Medos Hotel, Rákóczi út 40, Budapest, Hungary",47.498611,19.070278
28 nov 02 - Parlamento,28 nov — Budapeste — Pest icónico,28 nov - Budapeste — Pest icónico - Ponto turístico - #day-2026-11-28,"Hungarian Parliament Building, Budapest, Hungary",47.507222,19.045833
28 nov 03 - Shoes on the Danube,28 nov — Budapeste — Pest icónico,28 nov - Budapeste — Pest icónico - Ponto turístico - #day-2026-11-28,"Shoes on the Danube Bank, Budapest, Hungary",47.503889,19.044722
28 nov 04 - Great Market Hall,28 nov — Budapeste — Pest icónico,28 nov - Budapeste — Pest icónico - Ponto turístico - #day-2026-11-28,"Great Market Hall, Budapest, Hungary",47.486944,19.058889
28 nov 05 - Fishermans Bastion,28 nov — Budapeste — Pest icónico,28 nov - Budapeste — Pest icónico - Ponto turístico - #day-2026-11-28,"Fisherman's Bastion, Budapest, Hungary",47.502778,19.034444
28 nov 06 - Matthias Church,28 nov — Budapeste — Pest icónico,28 nov - Budapeste — Pest icónico - Ponto turístico - #day-2026-11-28,"Matthias Church, Budapest, Hungary",47.502222,19.034167
28 nov 07 - Maverick Soho bar,28 nov — Budapeste — Pest icónico,28 nov - Budapeste — Pest icónico - Noite - #day-2026-11-28,"Maverick City Lodge Budapest, Kazinczy utca 24-26, Budapest, Hungary",47.497222,19.062778
28 nov 08 - Szimpla Kert,28 nov — Budapeste — Pest icónico,28 nov - Budapeste — Pest icónico - Noite - #day-2026-11-28,"Szimpla Kert, Budapest, Hungary",47.496944,19.063056
28 nov 09 - Instant-Fogas,28 nov — Budapeste — Pest icónico,28 nov - Budapeste — Pest icónico - Noite - #day-2026-11-28,"Instant-Fogas, Budapest, Hungary",47.497778,19.062500
29 nov 01 - Medos Hotel,29 nov — Budapeste — descanso,29 nov - Budapeste — descanso - Hotel - #day-2026-11-29,"Medos Hotel, Rákóczi út 40, Budapest, Hungary",47.498611,19.070278
29 nov 02 - Jewish Quarter (opcional),29 nov — Budapeste — descanso,29 nov - Budapeste — descanso - Ponto turístico - #day-2026-11-29,"Dohány utca 2, Budapest, Hungary",47.495833,19.060278
29 nov 03 - Margaret Bridge,29 nov — Budapeste — descanso,29 nov - Budapeste — descanso - Ponto turístico - #day-2026-11-29,"Margaret Bridge, Budapest, Hungary",47.515278,19.042778
29 nov 04 - Margaret Island,29 nov — Budapeste — descanso,29 nov - Budapeste — descanso - Ponto turístico - #day-2026-11-29,"Margaret Island, Budapest, Hungary",47.527500,19.047222
30 nov 01 - Medos Hotel (check-out),30 nov — Budapeste -> Berlim,30 nov - Budapeste -> Berlim - Hotel - #day-2026-11-30,"Medos Hotel, Rákóczi út 40, Budapest, Hungary",47.498611,19.070278
30 nov 02 - Basílica (último passeio),30 nov — Budapeste -> Berlim,30 nov - Budapeste -> Berlim - Ponto turístico - #day-2026-11-30,"Szent István tér 1, Budapest, Hungary",47.500833,19.053889
30 nov 03 - Budapest Airport (BUD),30 nov — Budapeste -> Berlim,30 nov - Budapeste -> Berlim - Aeroporto - #day-2026-11-30,"Budapest Airport, Hungary",47.429761,19.261093
30 nov 04 - Berlin Brandenburg Airport (BER),30 nov — Budapeste -> Berlim,30 nov - Budapeste -> Berlim - Aeroporto - #day-2026-11-30,"Berlin Brandenburg Airport, Germany",52.366667,13.503333
30 nov 05 - Premier Inn Alexanderplatz,30 nov — Budapeste -> Berlim,30 nov - Budapeste -> Berlim - Hotel - #day-2026-11-30,"Premier Inn Berlin Alexanderplatz, Otto-Braun-Straße 69, Berlin, Germany",52.523056,13.412778
30 nov 06 - Alexanderplatz,30 nov — Budapeste -> Berlim,30 nov - Budapeste -> Berlim - Ponto turístico - #day-2026-11-30,"Alexanderplatz 1, 10178 Berlin, Germany",52.521944,13.413333
30 nov 07 - Fernsehturm,30 nov — Budapeste -> Berlim,30 nov - Budapeste -> Berlim - Ponto turístico - #day-2026-11-30,"Berlin TV Tower, Germany",52.520833,13.409444
1 dez 01 - Premier Inn Alexanderplatz,1 dez — Berlim — Mitte,1 dez - Berlim — Mitte - Hotel - #day-2026-12-01,"Premier Inn Berlin Alexanderplatz, Berlin, Germany",52.523056,13.412778
1 dez 02 - Brandenburg Gate,1 dez — Berlim — Mitte,1 dez - Berlim — Mitte - Ponto turístico - #day-2026-12-01,"Brandenburg Gate, Berlin, Germany",52.516275,13.377704
1 dez 03 - Reichstag,1 dez — Berlim — Mitte,1 dez - Berlim — Mitte - Ponto turístico - #day-2026-12-01,"Reichstag Building, Berlin, Germany",52.518611,13.376111
1 dez 04 - Tiergarten,1 dez — Berlim — Mitte,1 dez - Berlim — Mitte - Ponto turístico - #day-2026-12-01,"Tiergarten, Berlin, Germany",52.514444,13.350000
1 dez 05 - Holocaust Memorial,1 dez — Berlim — Mitte,1 dez - Berlim — Mitte - Ponto turístico - #day-2026-12-01,"Memorial to the Murdered Jews of Europe, Berlin, Germany",52.513889,13.378889
1 dez 06 - Potsdamer Platz,1 dez — Berlim — Mitte,1 dez - Berlim — Mitte - Ponto turístico - #day-2026-12-01,"Potsdamer Platz, Berlin, Germany",52.509444,13.376111
1 dez 07 - East Side Gallery,1 dez — Berlim — Mitte,1 dez - Berlim — Mitte - Ponto turístico - #day-2026-12-01,"East Side Gallery, Berlin, Germany",52.505000,13.439722
1 dez 08 - Alexanderplatz (volta),1 dez — Berlim — Mitte,1 dez - Berlim — Mitte - Ponto turístico - #day-2026-12-01,"Alexanderplatz 1, 10178 Berlin, Germany",52.521944,13.413333
1 dez 09 - Generator Berlin (noite),1 dez — Berlim — Mitte,1 dez - Berlim — Mitte - Noite - #day-2026-12-01,"Generator Berlin Alexanderplatz, Otto-Braun-Straße 65, Berlin, Germany",52.523333,13.413056
2 dez 01 - Premier Inn Alexanderplatz,2 dez — Berlim — compras,2 dez - Berlim — compras - Hotel - #day-2026-12-02,"Premier Inn Berlin Alexanderplatz, Berlin, Germany",52.523056,13.412778
2 dez 02 - Unter den Linden,2 dez — Berlim — compras,2 dez - Berlim — compras - Ponto turístico - #day-2026-12-02,"Unter den Linden, Berlin, Germany",52.516944,13.390833
2 dez 03 - Berliner Dom,2 dez — Berlim — compras,2 dez - Berlim — compras - Ponto turístico - #day-2026-12-02,"Berlin Cathedral, Germany",52.519167,13.401111
2 dez 04 - Lustgarten,2 dez — Berlim — compras,2 dez - Berlim — compras - Ponto turístico - #day-2026-12-02,"Lustgarten, Berlin, Germany",52.519167,13.398889
2 dez 05 - Museum Island,2 dez — Berlim — compras,2 dez - Berlim — compras - Ponto turístico - #day-2026-12-02,"Museum Island, Berlin, Germany",52.521111,13.399722
2 dez 06 - Gendarmenmarkt,2 dez — Berlim — compras,2 dez - Berlim — compras - Ponto turístico - #day-2026-12-02,"Gendarmenmarkt, Berlin, Germany",52.513611,13.392500
2 dez 07 - Kurfürstendamm,2 dez — Berlim — compras,2 dez - Berlim — compras - Ponto turístico - #day-2026-12-02,"Kurfürstendamm, Berlin, Germany",52.504167,13.332778
3 dez 01 - Premier Inn Alexanderplatz (check-out),3 dez — Berlim -> Praga,3 dez - Berlim -> Praga - Hotel - #day-2026-12-03,"Premier Inn Berlin Alexanderplatz, Berlin, Germany",52.523056,13.412778
3 dez 02 - Berlin Südkreuz,3 dez — Berlim -> Praga,3 dez - Berlim -> Praga - Transporte - #day-2026-12-03,"Berlin Südkreuz station, Germany",52.476111,13.385556
3 dez 03 - Praha Florenc (FlixBus),3 dez — Berlim -> Praga,3 dez - Berlim -> Praga - Transporte - #day-2026-12-03,"Florenc bus station, Prague, Czechia",50.091389,14.441111
3 dez 04 - Alton Hotel,3 dez — Berlim -> Praga,3 dez - Berlim -> Praga - Hotel - #day-2026-12-03,"Alton Hotel, Legerova 22, Prague, Czechia",50.071111,14.430000
3 dez 05 - Wenceslas Square,3 dez — Berlim -> Praga,3 dez - Berlim -> Praga - Ponto turístico - #day-2026-12-03,"Wenceslas Square, Prague, Czechia",50.081111,14.427778
3 dez 06 - Old Town Square,3 dez — Berlim -> Praga,3 dez - Berlim -> Praga - Ponto turístico - #day-2026-12-03,"Old Town Square, Prague, Czechia",50.087500,14.421389
3 dez 07 - Astronomical Clock,3 dez — Berlim -> Praga,3 dez - Berlim -> Praga - Ponto turístico - #day-2026-12-03,"Prague Astronomical Clock, Czechia",50.086944,14.420833
4 dez 01 - Alton Hotel,4 dez — Praga — castelo,4 dez - Praga — castelo - Hotel - #day-2026-12-04,"Alton Hotel, Legerova 22, Prague, Czechia",50.071111,14.430000
4 dez 02 - Charles Bridge,4 dez — Praga — castelo,4 dez - Praga — castelo - Ponto turístico - #day-2026-12-04,"Charles Bridge, Prague, Czechia",50.086389,14.411389
4 dez 03 - Malá Strana,4 dez — Praga — castelo,4 dez - Praga — castelo - Ponto turístico - #day-2026-12-04,"Malá Strana, Prague, Czechia",50.087778,14.403889
4 dez 04 - Prague Castle,4 dez — Praga — castelo,4 dez - Praga — castelo - Ponto turístico - #day-2026-12-04,"Prague Castle, Czechia",50.091111,14.401389
4 dez 05 - Kampa Island,4 dez — Praga — castelo,4 dez - Praga — castelo - Ponto turístico - #day-2026-12-04,"Kampa Island, Prague, Czechia",50.084722,14.408611
4 dez 06 - Na Příkopě,4 dez — Praga — castelo,4 dez - Praga — castelo - Ponto turístico - #day-2026-12-04,"Na Příkopě, Prague, Czechia",50.085556,14.426389
4 dez 07 - Palladium,4 dez — Praga — castelo,4 dez - Praga — castelo - Ponto turístico - #day-2026-12-04,"Palladium Prague, Czechia",50.089444,14.428889
4 dez 08 - Old Town Square (revisit),4 dez — Praga — castelo,4 dez - Praga — castelo - Ponto turístico - #day-2026-12-04,"Old Town Square, Prague, Czechia",50.087500,14.421389
4 dez 09 - Sophies Hostel bar (Vinohrady),4 dez — Praga — castelo,4 dez - Praga — castelo - Noite - #day-2026-12-04,"Sophie's Hostel Prague, Melounova 2, Prague, Czechia",50.075278,14.431389
5 dez 01 - Alton Hotel (check-out),5 dez — Praga -> Bruxelas,5 dez - Praga -> Bruxelas - Hotel - #day-2026-12-05,"Alton Hotel, Legerova 22, Prague, Czechia",50.071111,14.430000
5 dez 02 - Charles Bridge (último passeio),5 dez — Praga -> Bruxelas,5 dez - Praga -> Bruxelas - Ponto turístico - #day-2026-12-05,"Charles Bridge, Prague, Czechia",50.086389,14.411389
5 dez 03 - Václav Havel Airport (PRG),5 dez — Praga -> Bruxelas,5 dez - Praga -> Bruxelas - Aeroporto - #day-2026-12-05,"Václav Havel Airport Prague, Czechia",50.100833,14.263333
5 dez 04 - Brussels Airport Zaventem (BRU),5 dez — Praga -> Bruxelas,5 dez - Praga -> Bruxelas - Aeroporto - #day-2026-12-05,"Brussels Airport, Belgium",50.901389,4.484444
5 dez 05 - Hotel des Colonies,5 dez — Praga -> Bruxelas,5 dez - Praga -> Bruxelas - Hotel - #day-2026-12-05,"Hotel des Colonies Brussels, Rue des Croisades 6, Brussels, Belgium",50.856944,4.357222
5 dez 06 - Rogier / Rue Neuve,5 dez — Praga -> Bruxelas,5 dez - Praga -> Bruxelas - Ponto turístico - #day-2026-12-05,"Rue Neuve, Brussels, Belgium",50.853889,4.356944
6 dez 01 - Hotel des Colonies,6 dez — Bruxelas — descanso + prep voo,6 dez - Bruxelas — descanso + prep voo - Hotel - #day-2026-12-06,"Hotel des Colonies Brussels, Rue des Croisades 6, Brussels, Belgium",50.856944,4.357222
6 dez 02 - Grand Place,6 dez — Bruxelas — descanso + prep voo,6 dez - Bruxelas — descanso + prep voo - Ponto turístico - #day-2026-12-06,"Grand Place, Brussels, Belgium",50.846667,4.352500
6 dez 03 - Galeries Royales Saint-Hubert,6 dez — Bruxelas — descanso + prep voo,6 dez - Bruxelas — descanso + prep voo - Ponto turístico - #day-2026-12-06,"Galeries Royales Saint-Hubert, Brussels, Belgium",50.848611,4.354722
6 dez 04 - Mont des Arts,6 dez — Bruxelas — descanso + prep voo,6 dez - Bruxelas — descanso + prep voo - Ponto turístico - #day-2026-12-06,"Mont des Arts, Brussels, Belgium",50.842778,4.359444
6 dez 05 - Rue Neuve (opcional),6 dez — Bruxelas — descanso + prep voo,6 dez - Bruxelas — descanso + prep voo - Ponto turístico - #day-2026-12-06,"Rue Neuve, Brussels, Belgium",50.853889,4.356944
